starttime_VCO2_6262_1,area_VCO2_6262_1
08:26:46,.3539659
08:28:24,.0665392
08:29:44,6.527998E-02
08:30:53,5.903443E-02
08:32:32,.1440904
08:34:14,3.439981E-02
08:35:45,5.333861E-02
08:37:05,5.178797E-02
08:38:23,9.354398E-02
08:39:42,.1978312
08:41:09,4.511763E-02
08:42:32,6.606286E-02
08:43:52,4.762833E-02
08:45:18,.4427113
08:46:45,.6145979
08:48:17,8.644934E-02
08:49:33,9.073754E-02
08:50:53,.8342099
08:52:27,7.871644E-02
08:53:51,.0720861
08:55:11,4.296309E-03
08:56:38,5.563155E-03
08:57:46,7.852894E-03
08:26:46,1.441415
08:28:24,.1351242
08:29:44,.0827463
08:30:53,1.137766
08:32:32,.8803463
08:34:14,.1552431
08:35:45,.1162251
08:37:05,7.858907E-02
08:38:23,9.721231E-02
08:39:42,.1037739
08:41:09,.1172321
08:42:32,.1329947
08:43:52,.1011545
08:45:18,.1002977
08:46:45,7.245432E-02
08:48:17,8.822772E-02
08:49:33,7.326245E-02
08:50:53,9.735731E-02
08:52:27,8.865586E-02
08:53:51,7.869223E-02
08:55:11,9.400491E-02
08:56:38,7.191821E-03
08:57:46,1.941885E-02
