Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li-cor,
44,white,Grant,8.837,,2017-09-06,2017-08-27,4,Apple,7000,
45,white,Grant,9.453,,2017-09-06,2017-08-27,4,Apple,7000,
46,white,Grant,6.458,,2017-09-06,2017-08-27,4,Apple,7000,
47,white,Ferris,8.931,,2017-09-06,2017-08-27,4,Apple,7000,
48,white,Grant,8.267,,2017-09-06,2017-08-27,4,Apple,7000,
49,white,Grant,7.886,,2017-09-06,2017-08-27,4,Apple,7000,
50,white,Milford,11.759,,2017-09-06,2017-08-27,4,Haw,7000,
51,white,Grant,11.131,,2017-09-06,2017-08-27,4,Apple,6262,
52,white,Ferris,6.326,,2017-09-06,2017-08-27,4,Apple,6262,
53,white,Grant,4.484,,2017-09-06,2017-08-27,4,Apple,6262,
54,white,Ferris,5.327,,2017-09-06,2017-08-27,4,Apple,6262,
55,white,Grant,10.858,,2017-09-06,2017-08-27,4,Apple,6262,
56,white,Ferris,7.307,,2017-09-06,2017-08-27,4,Apple,6262,
57,white,Grant,6.917,,2017-09-06,2017-08-27,4,Apple,6262,
58,white,Grant,4.992,,2017-09-06,2017-08-27,4,Apple,6262,
59,white,Grant,4.727,,2017-09-06,2017-08-27,4,Apple,6262,
60,white,Ferris,7.82,,2017-09-06,2017-08-27,4,Apple,6262,
61,white,Grant,6.867,,2017-09-06,2017-08-27,4,Apple,6262,
62,white,Ferris,8.896,,2017-09-06,2017-08-27,4,Apple,6262,
63,white,Grant,5.974,,2017-09-06,2017-08-27,4,Apple,6262,
64,white,Grant,6.55,,2017-09-06,2017-08-27,4,Apple,6262,
65,white,Grant,10.582,,2017-09-06,2017-08-27,4,Apple,6262,
66,white,Ferris,7.29,,2017-09-06,2017-08-27,4,Apple,6262,
67,white,Grant,6.035,,2017-09-06,2017-08-27,4,Apple,6262,
68,white,Ferris,6.56,,2017-09-06,2017-08-27,4,Apple,6262,
69,white,Ferris,8.47,,2017-09-06,2017-08-27,4,Apple,6262,
70,white,Ferris,10.624,,2017-09-06,2017-08-27,4,Apple,6262,
71,white,Ferris,8.171,,2017-09-06,2017-08-27,4,Apple,6262,
72,white,Grant,6.366,,2017-09-06,2017-08-27,4,Apple,6262,
73,white,Ferris,11.6,,2017-09-06,2017-08-27,4,Apple,6262,
74,white,Ferris,7.682,,2017-09-06,2017-08-27,4,Apple,6262,
75,white,Ferris,6.971,,2017-09-06,2017-08-27,4,Apple,6262,
76,white,Grant,6.545,,2017-09-06,2017-08-27,4,Apple,6262,
