"","sample.wells..60.","treatment"
"1","D7","RT"
"2","G3","RT"
"3","D1","RT"
"4","C12","RT"
"5","G10","RT"
"6","C8","RT"
"7","B11","RT"
"8","D2","RT"
"9","E3","RT"
"10","B6","RT"
"11","G8","RT"
"12","F11","RT"
"13","A12","RT"
"14","C2","RT"
"15","D5","RT"
"16","H1","RT"
"17","D4","RT"
"18","C6","RT"
"19","B8","RT"
"20","G11","RT"
"21","F9","RT"
"22","C1","RT"
"23","H11","RT"
"24","D9","RT"
"25","F5","RT"
"26","F4","RT"
"27","B7","RT"
"28","D6","RT"
"29","G7","RT"
"30","C5","RT"
"31","D12","SO"
"32","F2","SO"
"33","E4","SO"
"34","H7","SO"
"35","H10","SO"
"36","A8","SO"
"37","A10","SO"
"38","H5","SO"
"39","A1","SO"
"40","F12","SO"
"41","B10","SO"
"42","E5","SO"
"43","B4","SO"
"44","F1","SO"
"45","C3","SO"
"46","D11","SO"
"47","F10","SO"
"48","D10","SO"
"49","C4","SO"
"50","A6","SO"
"51","D3","SO"
"52","B12","SO"
"53","H9","SO"
"54","A4","SO"
"55","B9","SO"
"56","A5","SO"
"57","B1","SO"
"58","E2","SO"
"59","G9","SO"
"60","E1","SO"
