"","sample.wells..60.","treatment"
"1","F5","RT"
"2","G7","RT"
"3","B4","RT"
"4","B6","RT"
"5","F12","RT"
"6","F10","RT"
"7","E10","RT"
"8","F4","RT"
"9","G3","RT"
"10","B9","RT"
"11","C1","RT"
"12","G10","RT"
"13","E1","RT"
"14","E4","RT"
"15","H3","RT"
"16","B1","RT"
"17","E11","RT"
"18","E3","RT"
"19","B10","RT"
"20","D6","RT"
"21","H2","RT"
"22","E9","RT"
"23","G1","RT"
"24","H8","RT"
"25","G6","RT"
"26","E6","RT"
"27","H10","RT"
"28","C2","RT"
"29","D7","RT"
"30","E5","RT"
"31","D10","SO"
"32","A2","SO"
"33","F2","SO"
"34","C12","SO"
"35","E2","SO"
"36","F6","SO"
"37","G8","SO"
"38","C8","SO"
"39","D2","SO"
"40","A4","SO"
"41","E8","SO"
"42","C6","SO"
"43","D3","SO"
"44","E7","SO"
"45","H7","SO"
"46","A8","SO"
"47","B2","SO"
"48","G11","SO"
"49","F3","SO"
"50","G12","SO"
"51","B12","SO"
"52","G4","SO"
"53","F7","SO"
"54","C5","SO"
"55","F9","SO"
"56","E12","SO"
"57","A1","SO"
"58","H5","SO"
"59","F1","SO"
"60","B5","SO"
