"","sample.wells..60.","treatment"
"1","A7","RT"
"2","F7","RT"
"3","E4","RT"
"4","D12","RT"
"5","F4","RT"
"6","G9","RT"
"7","D10","RT"
"8","H4","RT"
"9","A1","RT"
"10","B4","RT"
"11","C2","RT"
"12","G4","RT"
"13","C9","RT"
"14","G7","RT"
"15","A5","RT"
"16","F11","RT"
"17","C3","RT"
"18","F2","RT"
"19","A11","RT"
"20","F1","RT"
"21","E9","RT"
"22","C6","RT"
"23","H2","RT"
"24","C7","RT"
"25","B12","RT"
"26","D9","RT"
"27","D5","RT"
"28","C4","RT"
"29","A12","RT"
"30","D3","RT"
"31","D8","SO"
"32","A6","SO"
"33","B2","SO"
"34","H5","SO"
"35","F6","SO"
"36","B7","SO"
"37","B10","SO"
"38","F9","SO"
"39","B6","SO"
"40","H3","SO"
"41","H9","SO"
"42","E10","SO"
"43","H7","SO"
"44","G2","SO"
"45","F8","SO"
"46","B9","SO"
"47","C11","SO"
"48","E7","SO"
"49","F12","SO"
"50","E5","SO"
"51","D1","SO"
"52","C12","SO"
"53","G5","SO"
"54","D6","SO"
"55","E12","SO"
"56","A10","SO"
"57","G6","SO"
"58","A4","SO"
"59","G8","SO"
"60","B5","SO"
