"","sample.wells..50.","treatment"
"1","B6","RT"
"2","D2","RT"
"3","C6","RT"
"4","G3","RT"
"5","A8","RT"
"6","B12","RT"
"7","H10","RT"
"8","A7","RT"
"9","D10","RT"
"10","F2","RT"
"11","G2","RT"
"12","H7","RT"
"13","C7","RT"
"14","B1","RT"
"15","D1","RT"
"16","A9","RT"
"17","D4","RT"
"18","C2","RT"
"19","E2","RT"
"20","F11","RT"
"21","A3","RT"
"22","B4","RT"
"23","E12","RT"
"24","G11","RT"
"25","G8","RT"
"26","G5","SO"
"27","G10","SO"
"28","C11","SO"
"29","F7","SO"
"30","E11","SO"
"31","E7","SO"
"32","C8","SO"
"33","D9","SO"
"34","D8","SO"
"35","E1","SO"
"36","F12","SO"
"37","C9","SO"
"38","D6","SO"
"39","A6","SO"
"40","G6","SO"
"41","E5","SO"
"42","D5","SO"
"43","D11","SO"
"44","E8","SO"
"45","A4","SO"
"46","F10","SO"
"47","G1","SO"
"48","A2","SO"
"49","F9","SO"
"50","B7","SO"
