"","sample.wells..50.","treatment"
"1","C11","RT"
"2","E4","RT"
"3","G2","RT"
"4","G6","RT"
"5","F9","RT"
"6","G3","RT"
"7","F7","RT"
"8","E12","RT"
"9","A5","RT"
"10","G9","RT"
"11","A12","RT"
"12","C2","RT"
"13","G11","RT"
"14","D11","RT"
"15","A11","RT"
"16","F4","RT"
"17","F2","RT"
"18","C3","RT"
"19","A1","RT"
"20","B4","RT"
"21","B11","RT"
"22","H7","RT"
"23","A10","RT"
"24","H10","RT"
"25","E6","RT"
"26","D10","SO"
"27","H4","SO"
"28","B1","SO"
"29","A7","SO"
"30","B2","SO"
"31","D1","SO"
"32","F10","SO"
"33","C1","SO"
"34","A3","SO"
"35","C8","SO"
"36","D2","SO"
"37","D3","SO"
"38","G12","SO"
"39","G7","SO"
"40","D7","SO"
"41","F3","SO"
"42","D9","SO"
"43","H12","SO"
"44","A8","SO"
"45","G10","SO"
"46","H11","SO"
"47","C6","SO"
"48","B12","SO"
"49","C9","SO"
"50","H5","SO"
