"","sample.wells..60.","treatment"
"1","D8","RT"
"2","D10","RT"
"3","B7","RT"
"4","D12","RT"
"5","B10","RT"
"6","A12","RT"
"7","E1","RT"
"8","G3","RT"
"9","C8","RT"
"10","G5","RT"
"11","D5","RT"
"12","E3","RT"
"13","D11","RT"
"14","A6","RT"
"15","G1","RT"
"16","G12","RT"
"17","C6","RT"
"18","H10","RT"
"19","E10","RT"
"20","G9","RT"
"21","B2","RT"
"22","H2","RT"
"23","B8","RT"
"24","B1","RT"
"25","C9","RT"
"26","A4","RT"
"27","B5","RT"
"28","C11","RT"
"29","C7","RT"
"30","G2","RT"
"31","A1","SO"
"32","F7","SO"
"33","F6","SO"
"34","D1","SO"
"35","E12","SO"
"36","D9","SO"
"37","A10","SO"
"38","H1","SO"
"39","D3","SO"
"40","H5","SO"
"41","F11","SO"
"42","G7","SO"
"43","D2","SO"
"44","B12","SO"
"45","F5","SO"
"46","H11","SO"
"47","H9","SO"
"48","H3","SO"
"49","E4","SO"
"50","D4","SO"
"51","F9","SO"
"52","C1","SO"
"53","C2","SO"
"54","F8","SO"
"55","H8","SO"
"56","E11","SO"
"57","G11","SO"
"58","C10","SO"
"59","C4","SO"
"60","E9","SO"
