"","sample.wells..60.","treatment"
"1","B8","RT"
"2","A11","RT"
"3","B3","RT"
"4","H8","RT"
"5","G4","RT"
"6","E12","RT"
"7","G5","RT"
"8","B2","RT"
"9","C9","RT"
"10","F1","RT"
"11","G8","RT"
"12","C12","RT"
"13","A6","RT"
"14","H1","RT"
"15","B6","RT"
"16","C1","RT"
"17","A12","RT"
"18","B4","RT"
"19","E6","RT"
"20","D9","RT"
"21","D12","RT"
"22","E4","RT"
"23","F8","RT"
"24","D2","RT"
"25","F7","RT"
"26","D8","RT"
"27","G2","RT"
"28","A2","RT"
"29","B12","RT"
"30","C3","RT"
"31","H10","SO"
"32","E10","SO"
"33","H9","SO"
"34","D6","SO"
"35","A10","SO"
"36","E3","SO"
"37","H3","SO"
"38","A3","SO"
"39","C2","SO"
"40","G9","SO"
"41","B11","SO"
"42","A4","SO"
"43","C5","SO"
"44","D11","SO"
"45","G3","SO"
"46","G12","SO"
"47","G10","SO"
"48","D5","SO"
"49","D1","SO"
"50","G11","SO"
"51","A1","SO"
"52","E8","SO"
"53","H2","SO"
"54","E11","SO"
"55","D7","SO"
"56","G6","SO"
"57","G1","SO"
"58","C11","SO"
"59","E1","SO"
"60","F6","SO"
