"","sample.wells..50.","treatment"
"1","A4","RT"
"2","B12","RT"
"3","A12","RT"
"4","F4","RT"
"5","F9","RT"
"6","E6","RT"
"7","G4","RT"
"8","A10","RT"
"9","C3","RT"
"10","G5","RT"
"11","H5","RT"
"12","A3","RT"
"13","A5","RT"
"14","B7","RT"
"15","F10","RT"
"16","D1","RT"
"17","F8","RT"
"18","H9","RT"
"19","E8","RT"
"20","C1","RT"
"21","E1","RT"
"22","B3","RT"
"23","D6","RT"
"24","G3","RT"
"25","H12","RT"
"26","D9","SO"
"27","C2","SO"
"28","B1","SO"
"29","B11","SO"
"30","F5","SO"
"31","G2","SO"
"32","G6","SO"
"33","E3","SO"
"34","G12","SO"
"35","H6","SO"
"36","B10","SO"
"37","C12","SO"
"38","F6","SO"
"39","B5","SO"
"40","B2","SO"
"41","B8","SO"
"42","E12","SO"
"43","F3","SO"
"44","E7","SO"
"45","G8","SO"
"46","H1","SO"
"47","C4","SO"
"48","H11","SO"
"49","E11","SO"
"50","A7","SO"
