"","sample.wells..60.","treatment"
"1","G1","RT"
"2","H4","RT"
"3","E11","RT"
"4","G10","RT"
"5","B9","RT"
"6","B2","RT"
"7","F10","RT"
"8","E12","RT"
"9","C5","RT"
"10","G11","RT"
"11","C7","RT"
"12","B1","RT"
"13","H9","RT"
"14","D1","RT"
"15","D11","RT"
"16","H3","RT"
"17","F7","RT"
"18","G9","RT"
"19","D6","RT"
"20","A9","RT"
"21","E5","RT"
"22","B11","RT"
"23","A12","RT"
"24","F12","RT"
"25","C1","RT"
"26","E7","RT"
"27","E1","RT"
"28","C12","RT"
"29","H2","RT"
"30","E3","RT"
"31","G4","SO"
"32","A10","SO"
"33","C8","SO"
"34","C4","SO"
"35","D10","SO"
"36","G5","SO"
"37","F9","SO"
"38","D4","SO"
"39","H5","SO"
"40","F4","SO"
"41","C6","SO"
"42","D8","SO"
"43","A3","SO"
"44","B3","SO"
"45","F5","SO"
"46","B10","SO"
"47","D12","SO"
"48","B6","SO"
"49","G12","SO"
"50","A8","SO"
"51","G6","SO"
"52","B12","SO"
"53","H1","SO"
"54","G8","SO"
"55","C9","SO"
"56","D7","SO"
"57","H10","SO"
"58","F1","SO"
"59","C3","SO"
"60","C10","SO"
