"","sample.wells..60.","treatment"
"1","A2","RT"
"2","F12","RT"
"3","H2","RT"
"4","C5","RT"
"5","B4","RT"
"6","B9","RT"
"7","C10","RT"
"8","G2","RT"
"9","D11","RT"
"10","B11","RT"
"11","B6","RT"
"12","E7","RT"
"13","B12","RT"
"14","A9","RT"
"15","F8","RT"
"16","C7","RT"
"17","G7","RT"
"18","E1","RT"
"19","A10","RT"
"20","G3","RT"
"21","H4","RT"
"22","H11","RT"
"23","B2","RT"
"24","H6","RT"
"25","C11","RT"
"26","H5","RT"
"27","C1","RT"
"28","G12","RT"
"29","G8","RT"
"30","C2","RT"
"31","F4","SO"
"32","D9","SO"
"33","H8","SO"
"34","H12","SO"
"35","B10","SO"
"36","D3","SO"
"37","E6","SO"
"38","F1","SO"
"39","F11","SO"
"40","G9","SO"
"41","D6","SO"
"42","C4","SO"
"43","D12","SO"
"44","B5","SO"
"45","A7","SO"
"46","H3","SO"
"47","A8","SO"
"48","E9","SO"
"49","C6","SO"
"50","B1","SO"
"51","D8","SO"
"52","F7","SO"
"53","D2","SO"
"54","B8","SO"
"55","H10","SO"
"56","E12","SO"
"57","C9","SO"
"58","B7","SO"
"59","E2","SO"
"60","E3","SO"
