starttime_VCO2_6262_1,area_VCO2_6262_1
09:22:05,.223119
09:23:38,.3824008
09:24:58,.120204
09:26:18,.673344
09:27:43,.1195901
09:29:06,.5946295
09:30:28,8.883924E-02
09:31:53,.1567633
09:33:11,.5720946
09:35:28,4.317977E-03
09:38:23,.2123249
09:39:38,.447357
09:41:07,.4650063
09:42:25,.2279764
09:43:39,.1616614
09:44:58,.7589159
09:46:10,.1700807
09:47:37,.539946
09:48:54,.5464227
09:50:07,.6518168
09:51:25,.7848025
09:52:34,.2386018
09:53:53,1.222857
09:55:16,6.659769E-02
09:56:40,.1550973
09:58:08,.1491624
09:59:18,1.221974E-02
09:22:05,.5999389
09:23:38,.1409921
09:24:58,.2114921
09:26:18,1.033939
09:27:43,.8127397
09:29:06,.2178862
09:30:28,.3580377
09:31:53,.2924978
09:33:11,.9861953
09:35:28,.8392782
09:38:23,-2.269033E-05
09:39:38,.1966956
09:41:07,.1797265
09:42:25,.2812398
09:43:39,.2600065
09:44:58,.1689504
09:46:10,.1106945
09:47:37,.7285645
09:48:54,.6172976
09:50:07,.6672283
09:51:25,.107889
09:52:34,.8649557
09:53:53,1.101961
09:55:16,1.404667
09:56:40,1.098074
09:58:08,.3329874
09:59:18,1.536678E-02
