starttime_VCO2_6262_1,area_VCO2_6262_1,n,data_num,licor,tape
9:14:01,6.78E-02,1,1,7000,orange
9:15:39,4.15E-02,2,2,7000,orange
9:16:56,0.5121543,3,3,7000,orange
9:18:20,0.3606795,4,4,7000,orange
9:19:52,9.74E-02,5,5,7000,orange
9:21:10,1.31751,6,6,7000,orange
9:22:45,9.36E-02,7,7,7000,orange
9:24:05,0.1362285,8,8,7000,orange
9:25:16,0.7386541,9,9,7000,orange
9:26:48,0.5919609,10,10,7000,orange
9:28:26,0.0823172,11,11,7000,orange
9:30:13,5.56E-02,12,12,7000,orange
9:31:37,6.70E-02,13,13,7000,orange
9:32:52,6.44E-02,14,14,7000,orange
9:34:10,5.52E-02,15,15,7000,orange
9:35:31,0.6377392,16,16,7000,orange
9:37:04,0.1237543,17,17,7000,orange
9:38:22,0.585816,18,18,7000,orange
9:39:47,0.0782489,19,19,7000,orange
9:41:28,0.1186885,20,20,7000,orange
9:42:51,6.66E-02,21,21,7000,orange
9:44:11,0.7846344,22,22,7000,orange
9:45:30,6.01E-02,23,23,7000,orange
9:46:55,7.48E-02,24,24,7000,orange
9:48:09,7.45E-02,25,25,7000,orange
9:49:41,0.4412236,26,26,7000,orange
9:50:58,0.5781513,27,27,7000,orange
9:52:21,7.87E-02,28,28,7000,orange
9:54:01,0.7416357,29,29,7000,orange
9:55:47,6.22E-02,30,30,7000,orange
9:57:18,7.17E-02,31,31,7000,orange
9:58:42,0.1178349,32,32,7000,orange
10:00:03,0.0940177,33,33,7000,orange
10:01:30,8.59E-02,34,34,7000,orange
10:02:49,6.43E-02,35,35,7000,orange
10:04:27,0.8716796,36,36,7000,orange
10:06:07,8.60E-02,37,37,7000,orange
10:07:36,2.76E-03,38,,,orange
10:09:01,8.98E-02,39,38,7000,orange
10:10:32,5.41E-02,40,39,7000,orange
10:11:52,9.67E-02,41,40,7000,orange
10:13:10,0.1611778,42,41,7000,orange
10:14:27,6.77E-02,43,42,7000,orange
10:15:43,0.1957155,44,43,7000,orange
10:17:05,0.3452485,45,44,7000,orange
10:18:22,4.44E-02,46,45,7000,orange
10:19:35,9.62E-02,47,46,7000,orange
10:20:51,4.58E-02,48,47,7000,orange
10:22:28,5.80E-02,49,48,7000,orange
10:23:41,6.73E-02,50,49,7000,orange
10:25:02,6.23E-02,51,50,7000,orange
10:26:14,0.591032,52,51,7000,orange
10:27:38,0.1148018,53,52,7000,orange
10:29:14,9.68E-02,54,53,7000,orange
10:30:20,0.1055736,55,54,7000,orange
10:31:38,4.38E-02,56,55,7000,orange
10:32:50,6.33E-02,57,56,7000,orange
10:34:20,0.2463233,58,57,7000,orange
10:35:48,2.15E-02,59,58,7000,orange
10:37:03,1.03E-02,60,59,7000,orange
10:38:03,8.71E-04,61,60,7000,orange
9:14:01,0.8521911,1,1,6262,white
9:15:39,9.41E-02,2,2,6262,white
9:16:56,0.1044973,3,3,6262,white
9:18:20,0.8414142,4,4,6262,white
9:19:52,7.96E-02,5,5,6262,white
9:21:10,0.1976181,6,6,6262,white
9:22:45,0.2054451,7,7,6262,white
9:24:05,9.41E-02,8,8,6262,white
9:25:16,0.1823268,9,9,6262,white
9:26:48,0.3046587,10,10,6262,white
9:28:26,0.6115837,11,11,6262,white
9:30:13,0.200413,12,12,6262,white
9:31:37,8.62E-02,13,13,6262,white
9:32:52,0.1000801,14,14,6262,white
9:34:10,0.1868119,15,15,6262,white
9:35:31,0.5450561,16,16,6262,white
9:37:04,0.132311,17,17,6262,white
9:38:22,0.1342772,18,18,6262,white
9:39:47,1.327366,19,19,6262,white
9:41:28,0.1847152,20,20,6262,white
9:42:51,7.92E-02,21,21,6262,white
9:44:11,0.2418157,22,22,6262,white
9:45:30,0.2361345,23,23,6262,white
9:46:55,0.1830108,24,24,6262,white
9:48:09,0.5288864,25,25,6262,white
9:49:41,8.77E-02,26,26,6262,white
9:50:58,0.1693348,27,27,6262,white
9:52:21,0.7812362,28,28,6262,white
9:54:01,1.250385,29,29,6262,white
9:55:47,0.5401295,30,30,6262,white
9:57:18,0.5739623,31,31,6262,white
9:58:42,0.2518552,32,32,6262,white
10:00:03,0.6779261,33,33,6262,white
10:01:30,9.68E-02,34,34,6262,white
10:02:49,1.055976,35,35,6262,white
10:04:27,1.356302,36,36,6262,white
10:06:07,1.016566,37,37,6262,white
10:07:36,7.63E-02,38,,,white
10:09:01,0.1979745,39,38,6262,white
10:10:32,0.1646126,40,39,6262,white
10:11:52,0.1709312,41,40,6262,white
10:13:10,0.1755034,42,41,6262,white
10:14:27,8.79E-02,43,42,6262,white
10:15:43,0.3337167,44,43,6262,white
10:17:05,0.1065234,45,44,6262,white
10:18:22,0.1092104,46,45,6262,white
10:19:35,0.1076674,47,46,6262,white
10:20:51,1.210737,48,47,6262,white
10:22:28,0.1621569,49,48,6262,white
10:23:41,0.1540184,50,49,6262,white
10:25:02,8.51E-02,51,50,6262,white
10:26:14,0.1704077,52,51,6262,white
10:27:38,1.780549,53,52,6262,white
10:29:14,8.11E-02,54,53,6262,white
10:30:20,0.1629734,55,54,6262,white
10:31:38,0.1857329,56,55,6262,white
10:32:50,0.1992755,57,56,6262,white
10:34:20,0.373211,58,57,6262,white
10:35:48,0.1161302,59,58,6262,white
10:37:03,2.00E-02,60,59,6262,white
10:38:03,1.99E-02,61,,6262,white
