starttime_VCO2_6262_1,area_VCO2_6262_1
09:26:18,.493857
09:28:01,.3610231
09:29:09,.1151914
09:30:30,.6835032
09:31:41,.9523988
09:32:49,6.640051E-02
09:34:16,.5890414
09:35:27,6.140018E-02
09:36:31,.8322343
09:37:47,.5087747
09:38:59,.702298
09:40:08,7.202384E-02
09:41:25,5.345428E-02
09:42:49,4.595335E-02
09:43:59,9.796909E-03
09:26:18,1.250842
09:28:01,7.325851E-02
09:29:09,5.943096E-02
09:30:30,.0874826
09:31:41,.1067939
09:32:49,.6717116
09:34:16,.110722
09:35:27,8.041248E-02
09:36:31,.1343956
09:37:47,9.879236E-02
09:38:59,7.606355E-02
09:40:08,.0727186
09:41:25,.6992196
09:42:49,.1147143
09:43:59,1.286145E-02
